lineage_edge_id,event_id,from_id,from_type,relationship,to_id,to_type,canonical_reference,created_at,created_by_role
LIN-001,EVT-20260729-001,IDEA-20260729-001,idea,opens,EVT-20260729-001,event,records/event.md,2026-07-29T08:00:00Z,RB-02
LIN-002,EVT-20260729-001,EVT-20260729-001,event,investigated_by,DSC-20260729-001,discovery,records/discovery.md,2026-07-29T08:10:00Z,RB-03
LIN-003,EVT-20260729-001,DSC-20260729-001,discovery,informs,DEC-20260729-001,decision,records/decision-brief.md,2026-07-29T09:00:00Z,RB-02
LIN-004,EVT-20260729-001,DEC-20260729-001,decision,authorizes,ISS-20260729-001,issue,records/issue.md,2026-07-29T09:20:00Z,RB-05
LIN-005,EVT-20260729-001,ISS-20260729-001,issue,delivered_by,TKT-20260729-001,ticket,records/delivery-ticket.md,2026-07-29T09:30:00Z,RB-06
LIN-006,EVT-20260729-001,TKT-20260729-001,ticket,validated_by,VPL-20260729-001,validation_plan,records/validation-plan.md,2026-07-29T09:40:00Z,RB-07
LIN-007,EVT-20260729-001,VPL-20260729-001,validation_plan,contains,VSC-20260729-001,validation_scenario,records/validation-scenario.md,2026-07-29T09:45:00Z,RB-07
LIN-008,EVT-20260729-001,VSC-20260729-001,validation_scenario,executed_as,VRN-20260729-001,validation_run,records/validation-run.md,2026-07-29T10:00:00Z,RB-09
LIN-009,EVT-20260729-001,VRN-20260729-001,validation_run,produces,VRS-20260729-001,validation_result,records/validation-result.md,2026-07-29T10:10:00Z,RB-09
LIN-010,EVT-20260729-001,VRS-20260729-001,validation_result,supported_by,EVD-20260729-001,evidence_manifest,records/evidence-manifest.yaml,2026-07-29T10:11:00Z,RB-09
LIN-011,EVT-20260729-001,VRS-20260729-001,validation_result,observed_by,HOB-20260729-001,human_observation,records/human-observation.md,2026-07-29T10:25:00Z,RB-11
LIN-012,EVT-20260729-001,DEC-20260729-001,decision,authorizes,WRITE-001,write_manifest,records/writer-manifest.json,2026-07-29T10:30:00Z,RB-02
LIN-013,EVT-20260729-001,WRITE-001,write_manifest,produces,RECEIPT-001,write_receipt,records/writer-receipt.md,2026-07-29T10:35:00Z,RB-10
LIN-014,EVT-20260729-001,VRS-20260729-001,validation_result,verified_by,QCV-20260729-001,qc_record,records/independent-verification.md,2026-07-29T10:45:00Z,RB-12
LIN-015,EVT-20260729-001,RECEIPT-001,write_receipt,verified_by,QCV-20260729-001,qc_record,records/independent-verification.md,2026-07-29T10:45:00Z,RB-12
LIN-016,EVT-20260729-001,QCV-20260729-001,qc_record,satisfies,RDY-20260729-001,readiness,records/readiness.md,2026-07-29T10:50:00Z,RB-11
LIN-017,EVT-20260729-001,RDY-20260729-001,readiness,authorizes,RELEASE-001,release,records/release.md,2026-07-29T11:00:00Z,RB-11
